actions_taken,booking_id,created_date,description,incident_datetime,incident_id,incident_type,involved_inmates,involved_staff,location,person_id,referral_to_outside_agency
"[""ISOLATION""]",4a83c387-d68a-4157-9d05-556a12694caa,2025-09-15 10:44:52,Inmate referred for medical evaluation.,2025-09-09 17:46:34,JINC-aa63fc8f-ad9a-4b05-b226-cdaf07f4d95d,CONTRABAND,"[""658c0719-7c78-45a7-8920-2fdbf6513079""]","[""Laura Finley"", ""Larry Khan"", ""Bruce Blackwell""]",POD A,P-7CF11C2EBA,KCSO
"[""EVIDENCE_SEIZED""]",67d94aa6-6ea5-4146-b47f-7492b2b954e1,2025-09-15 10:44:52,Property damage to dayroom table recorded.,2025-04-11 18:49:30,JINC-f3b9fddb-9ed3-4fca-a986-15bf15602453,CONTRABAND,"[""d6d101f4-f33c-451e-83ea-d1eb826a9c41""]","[""Kimberly Armstrong"", ""Sharon Meyer""]",MEDICAL,P-21A93C3CBE,KCSO
"[""DISCIPLINARY""]",7801242d-3a7f-4020-856d-6cc82467a66f,2025-09-15 10:44:52,Property damage to dayroom table recorded.,2025-07-28 23:18:36,JINC-bd08bb50-85be-4c2b-ba5c-9cb61faf6f80,PROPERTY_DAMAGE,"[""c5a073b3-01b6-457a-8195-d7d96d9fa527"", ""4bbed429-7eaf-4a89-a751-06753b70cb3d"", ""5a7dcfcf-861a-41ea-963b-3fe7cb37338c""]","[""Jacob Johnson""]",POD A,P-ED05B1D363,PROSECUTOR
"[""ISOLATION"", ""DISCIPLINARY""]",75c7661b-20e8-4c18-b0a4-aaf859cdb490,2025-09-15 10:44:52,Contraband discovered during cell search.,2025-08-12 07:57:21,JINC-20dd0384-3df1-4fcb-9923-db34883c6a97,SELF_HARM,[],"[""Melissa Curtis"", ""Julie Rodriguez""]",MEDICAL,P-C840A0E07B,PROSECUTOR
"[""MEDICAL_EVAL"", ""DISCIPLINARY"", ""REPORT_FILED""]",d093f880-4be8-4700-9def-85185b1a3154,2025-09-15 10:44:52,Property damage to dayroom table recorded.,2025-07-30 20:24:43,JINC-009621d1-4643-4746-b813-b1695c5d6637,PROPERTY_DAMAGE,[],"[""William Gilbert""]",CELL 2,P-C0F2025212,
"[""ISOLATION"", ""EVIDENCE_SEIZED"", ""DISCIPLINARY""]",dbf3cfcf-2e47-4b96-8a74-03848b8ccc3e,2025-09-15 10:44:53,Altercation between inmates; separated by staff.,2025-05-13 22:20:06,JINC-353e72b9-8041-49bc-8b6e-662234f3bccd,SELF_HARM,"[""0e31b699-db0e-44f8-82d9-a10cc8e069bb"", ""011943cb-4cb1-4fa1-b7eb-fd7251e48f65"", ""d0b67db0-9cb8-4b04-a614-479146a588ae""]","[""Rebecca Stewart"", ""Heather Ross"", ""Michael Mccoy""]",DAYROOM,P-BE3DDA5C9A,
"[""EVIDENCE_SEIZED"", ""REPORT_FILED"", ""MEDICAL_EVAL""]",8848e13d-0840-4a0e-a121-98f30a990201,2025-09-15 10:44:53,Property damage to dayroom table recorded.,2025-09-12 22:14:37,JINC-feb15705-c864-4cc7-861c-48c1a17200da,MEDICAL,"[""8c776d73-8523-4304-b334-595ad5b0a1ea""]","[""Charles Roman"", ""Patrick Briggs""]",CELL 2,P-AED631E94B,KCSO
"[""EVIDENCE_SEIZED"", ""REPORT_FILED""]",7cfd0208-cf60-4742-b5f0-b3f0f096d22a,2025-09-15 10:44:53,Inmate referred for medical evaluation.,2025-04-08 14:34:08,JINC-02a273bb-45d8-4ca7-b9a5-3f5997358f5e,SELF_HARM,"[""40dc29bb-5598-4380-aefe-b10f4b34b083"", ""7ac0e2b8-d31e-4822-9b88-1316ba175a9d""]","[""Alan Lowe""]",YARD,P-767AAD04F5,
"[""MEDICAL_EVAL"", ""DISCIPLINARY"", ""ISOLATION""]",074ccb9b-d06d-4689-9016-789eeca5022e,2025-09-15 10:44:53,Contraband discovered during cell search.,2025-08-04 00:59:50,JINC-cecca1dd-0ffd-4090-ac2b-4b2ee932ff25,PROPERTY_DAMAGE,"[""f09169a3-85a2-49db-b4eb-75838cc736a8"", ""ce51b0fe-9dbf-4dab-a9d9-511cd7dfc1c7"", ""40d16116-a0c9-4505-8851-e0774f62fd05""]","[""Anne Brown"", ""Earl Patterson""]",DAYROOM,P-8C0E6D2C0D,KCSO
"[""REPORT_FILED"", ""ISOLATION""]",1dc58a67-e2fa-43ec-882d-9469330cea67,2025-09-15 10:44:53,Property damage to dayroom table recorded.,2025-07-08 07:20:30,JINC-6f2ab78a-cdb0-4ef0-afb3-d499e6f19aaa,ASSAULT,[],"[""Joseph Smith""]",CELL 2,P-58730325BB,KCSO
"[""DISCIPLINARY"", ""MEDICAL_EVAL""]",bb2343fc-e798-42ad-b85f-fa7e24183506,2025-09-15 10:44:53,Altercation between inmates; separated by staff.,2025-05-23 18:04:50,JINC-85af28fb-0886-422d-91e7-c242874033c3,MEDICAL,"[""c804edc9-d18d-4aa7-aa56-b4510768350f""]","[""Heather Glover""]",MEDICAL,P-68C590EDCF,PROSECUTOR
"[""ISOLATION"", ""REPORT_FILED""]",aa416806-98d1-420a-ae2f-2cf060a80320,2025-09-15 10:44:53,Altercation between inmates; separated by staff.,2025-08-30 05:03:07,JINC-bda18548-cedd-4bda-9fd4-8b08ede7fba8,SELF_HARM,"[""0560da19-652d-460d-8624-01c12aac6963""]","[""Yolanda Collins""]",POD A,P-D607171611,PROSECUTOR
"[""MEDICAL_EVAL"", ""ISOLATION"", ""EVIDENCE_SEIZED""]",5f1f61d8-0a1f-49ee-9088-38d2fcff9212,2025-09-15 10:44:53,Property damage to dayroom table recorded.,2025-05-04 03:38:53,JINC-043b8a90-04a6-404f-99d8-c0bab3dc4b7b,CONTRABAND,[],"[""Michelle Sanchez""]",POD B,P-A08DE92A6C,KCSO
"[""MEDICAL_EVAL""]",017b9530-becc-46fb-ae4e-be16e6a2f96d,2025-09-15 10:44:53,Inmate referred for medical evaluation.,2025-04-19 19:14:19,JINC-f8af56e3-d42b-4873-95c2-4e29554edba3,SELF_HARM,"[""d82997bd-b0b0-4a12-ba06-43eb14dd654c"", ""b433a770-bdbc-495f-8480-f38933b1c338"", ""7ed92a86-02a7-4009-bb78-1d9209b0763c""]","[""Robert Larson"", ""Heather Gibson""]",DAYROOM,P-417C4E00E1,PROSECUTOR
"[""ISOLATION"", ""MEDICAL_EVAL"", ""DISCIPLINARY""]",b9323648-5e54-429e-b7c9-e533dcf9702a,2025-09-15 10:44:53,Property damage to dayroom table recorded.,2025-04-26 06:45:11,JINC-d5b9318b-d81d-487a-887c-4132325541e9,PROPERTY_DAMAGE,"[""792ce920-2a83-4962-8273-c60305ddebc3"", ""7a740a2a-dec7-4e05-8a99-b728c181f49d"", ""4edd4ee1-6640-482b-b563-336c1fddbe0d""]","[""Theresa Werner"", ""Mackenzie Stewart"", ""Donald Cox""]",POD B,P-820EC43A47,PROSECUTOR
"[""ISOLATION"", ""DISCIPLINARY"", ""EVIDENCE_SEIZED""]",76e8e26b-49cd-4ca7-a1f1-32e740707df0,2025-09-15 10:44:53,Inmate referred for medical evaluation.,2025-05-04 09:05:48,JINC-48c6b792-01fe-4381-b9ce-c214c5c72f70,CONTRABAND,"[""2d2cbe48-42bd-45c0-92db-b8347684b7ec""]","[""Kenneth Orozco""]",CELL 2,P-C74354ED28,
"[""REPORT_FILED"", ""ISOLATION""]",a99fed22-cb39-4864-aad0-7e86bfd8116c,2025-09-15 10:44:53,Inmate referred for medical evaluation.,2025-06-03 16:00:15,JINC-0d518366-aca2-409d-be1b-213246d794dd,CONTRABAND,"[""1dca1910-e930-4381-b959-0aa50dc2b831"", ""1977d77f-9a4c-4ebf-9b38-a69a9f84c5ef""]","[""Aaron Mcconnell""]",POD A,P-B8AE01CC15,KCSO
"[""MEDICAL_EVAL"", ""EVIDENCE_SEIZED""]",dc049304-1b56-43a4-814f-0517c37eaeeb,2025-09-15 10:44:53,Property damage to dayroom table recorded.,2025-05-04 15:28:48,JINC-e0500ad2-e136-48c1-ba6e-91b1882de935,CONTRABAND,"[""63af4bd7-96e2-465d-939a-bcb44f206422"", ""8b4c410e-2582-41ae-8840-ea08b066ffe1""]","[""Karen Waller"", ""Chelsea Jones""]",YARD,P-DB590E2349,
"[""EVIDENCE_SEIZED"", ""DISCIPLINARY"", ""REPORT_FILED""]",599e2a95-1bf9-49bf-970a-45eb1756bf56,2025-09-15 10:44:53,Property damage to dayroom table recorded.,2025-08-19 20:32:32,JINC-fa3e455d-922f-44b6-9922-7a2b86c6164a,PROPERTY_DAMAGE,"[""dc536bd0-88de-4267-a116-252779c0e072"", ""c146a111-a416-4282-bb95-bf9c11974cb8"", ""8627b037-33a1-439f-8196-14960878fe8a""]","[""Kurt Hoover"", ""Joseph Jordan"", ""Amanda Rodriguez""]",MEDICAL,P-A1DC89F5FB,KCSO
"[""MEDICAL_EVAL"", ""ISOLATION""]",af564ae0-804c-497b-af9a-b671bcb2ed57,2025-09-15 10:44:53,Altercation between inmates; separated by staff.,2025-04-14 08:26:44,JINC-3fa88333-ec23-48c9-8396-111c6a3251ce,ASSAULT,[],"[""Melissa Davis"", ""Kathryn White"", ""Kaylee Parks""]",DAYROOM,P-6BC2F1D7E1,
"[""ISOLATION""]",5be5c6b8-ee6f-4585-bae1-e45b2d92bd16,2025-09-15 10:44:53,Inmate referred for medical evaluation.,2025-04-19 04:01:24,JINC-b2c45f53-9f1d-452c-8557-bdf205a3d535,MEDICAL,"[""930fd729-9e9f-4605-8f83-d90389acc37e"", ""473c49a4-e726-4a78-b97a-fe63391247f9""]","[""Timothy Freeman"", ""Stephen Simon"", ""Kelly Martin""]",POD B,P-FD2AB345D1,KCSO
"[""EVIDENCE_SEIZED""]",3b598fe3-9994-41cb-8c4e-36dc8b71a876,2025-09-15 10:44:53,Property damage to dayroom table recorded.,2025-06-01 06:08:10,JINC-3a57db50-4dfb-44e1-8d19-f64f05aa0971,PROPERTY_DAMAGE,"[""6de1d1de-4156-4e68-84b3-34a845118120"", ""5651ce22-1714-4c32-9e2e-2aac36633558"", ""0c05fb57-38d9-45ba-8c67-e16f6fa7c9f0""]","[""Daniel Marks"", ""Matthew Chavez"", ""Amanda Walker""]",CELL 2,P-7D1801BA2E,
"[""DISCIPLINARY""]",d5f7bed5-05b4-46af-bbee-4c1540a5b380,2025-09-15 10:44:53,Contraband discovered during cell search.,2025-03-21 07:07:41,JINC-74015754-3744-49db-aa98-7003f323ca17,ASSAULT,"[""f36ac471-0a75-436a-82c2-755f699d20f8"", ""ab0be2bd-1589-4b77-af8c-9bcf362a267e"", ""d9f35931-cd60-4607-8aa8-9da0a058c112""]","[""Ryan Reed""]",CELL 2,P-4F05A0F91B,
"[""DISCIPLINARY"", ""EVIDENCE_SEIZED"", ""MEDICAL_EVAL""]",62ed40ef-499e-4847-8d03-607d8aa69643,2025-09-15 10:44:53,Contraband discovered during cell search.,2025-03-23 07:04:52,JINC-bd638ca9-99e1-457f-9f5a-f5e70e1a55c7,ASSAULT,[],"[""Stacy Anderson"", ""Michael Austin""]",DAYROOM,P-14F112AA47,KCSO
"[""REPORT_FILED"", ""EVIDENCE_SEIZED""]",e8cc1daf-6e90-407c-9eba-9646be056d1e,2025-09-15 10:44:53,Property damage to dayroom table recorded.,2025-08-21 16:32:19,JINC-0ff2d944-deb2-4cc2-b037-a18eedc2843b,MEDICAL,"[""a819d2ff-3898-40c3-9295-f87d3f92db6c"", ""0c606e56-29a1-4bd8-9de4-07e50afdd35b"", ""bbb5cef4-f7f7-449f-ad2e-e125e2f94703""]","[""Robert King""]",MEDICAL,P-27BCF87C21,PROSECUTOR
"[""ISOLATION"", ""DISCIPLINARY"", ""EVIDENCE_SEIZED""]",a90fae54-f7a8-4962-a1c8-9451b6fe3d30,2025-09-15 10:44:54,Altercation between inmates; separated by staff.,2025-05-11 22:13:03,JINC-5e4bd2cc-05ad-49a7-a9c9-0121fef30dd4,SELF_HARM,"[""b4f28d03-f4d8-4163-910e-ddaf40346623"", ""3bc1043c-8d60-40c8-a210-c01f12979801""]","[""Danielle Jefferson"", ""Devin Decker"", ""Adriana Powers""]",POD A,P-A39FE6A333,PROSECUTOR
"[""DISCIPLINARY"", ""ISOLATION""]",8b66b96d-fdea-4727-adb3-520fd344b664,2025-09-15 10:44:54,Contraband discovered during cell search.,2025-09-12 11:12:24,JINC-723c0d00-2c0a-4bd0-8306-b3dcf462457a,SELF_HARM,"[""8ffe7ec0-3c17-4755-ad8b-52ba159e5f7c"", ""e6260b95-360b-4ff1-b6c9-eb728e4796d9""]","[""Lisa Mann"", ""Nicole Russo"", ""Theresa Burns""]",POD B,P-48118D8880,KCSO
"[""REPORT_FILED""]",78332758-fb56-46f0-bb31-7303bc368cb0,2025-09-15 10:44:54,Altercation between inmates; separated by staff.,2025-05-07 22:10:33,JINC-6ac07f32-21e2-4aee-b9a2-9bfdf5fda7c2,SELF_HARM,"[""c60bb38f-27df-44a8-a5d5-7ab197352ba5""]","[""Tracy Andrews"", ""John Richardson""]",CELL 2,P-5FDD28DAF1,
"[""EVIDENCE_SEIZED"", ""ISOLATION""]",fe07b4ee-4993-4fac-9dde-be0166125f80,2025-09-15 10:44:54,Contraband discovered during cell search.,2025-06-21 15:59:16,JINC-814c118f-07da-46a3-ba52-fad1f9f41faa,PROPERTY_DAMAGE,"[""a1d344c6-b51e-463d-8533-640b1eb20461"", ""2e5d1452-9491-4f29-b9f6-62a99ba8a73d"", ""76831089-c7cf-4af4-99ad-eac64f61a8d1""]","[""Kristina Davis"", ""Shannon Day"", ""Rick Wright""]",YARD,P-ADEAA8C878,
"[""EVIDENCE_SEIZED"", ""MEDICAL_EVAL""]",829aa8cb-0969-49a4-ae93-509f6e87a8ba,2025-09-15 10:44:54,Inmate referred for medical evaluation.,2025-08-04 03:06:15,JINC-3a585bd3-8818-4bc2-9548-4ccc29037681,MEDICAL,[],"[""Jason Barton"", ""Bonnie Krause"", ""Jackson Maldonado""]",MEDICAL,P-ED8E4304F2,
"[""REPORT_FILED""]",39a59435-8e61-4e0c-8cf4-cf9f7c0d4fb5,2025-09-15 10:44:54,Contraband discovered during cell search.,2025-06-25 00:21:28,JINC-ed94ded3-59e0-45da-9001-be553c2e9036,ASSAULT,"[""a9edf976-3a8c-4b16-af82-0d068ee64f02""]","[""Jennifer Cantu"", ""Stephanie Decker""]",CELL 2,P-77325DA198,
"[""MEDICAL_EVAL"", ""DISCIPLINARY""]",97b60315-0874-4e89-9efa-cb1ac7c1fc22,2025-09-15 10:44:54,Property damage to dayroom table recorded.,2025-09-10 05:03:33,JINC-cbff716c-d353-43b5-8e1c-d3ba9ccdfb77,MEDICAL,"[""987ac136-e711-4efd-a5fb-ee866d667d65"", ""f90935ab-38af-4527-9ef2-3535b5399b28"", ""4a458a49-d4c5-47bb-a26c-86737a60f92a""]","[""Melissa Gonzalez"", ""Misty Mills""]",MEDICAL,P-FC04D06913,KCSO
"[""DISCIPLINARY""]",b9e20629-d025-478c-8008-d68551808a85,2025-09-15 10:44:54,Altercation between inmates; separated by staff.,2025-03-19 17:14:30,JINC-2bbd677b-3714-4329-95e8-6f639687c30c,SELF_HARM,[],"[""Erica Smith""]",YARD,P-879ECCCEA1,
"[""ISOLATION""]",518af95a-bb0f-4531-a34d-e158e0d39a21,2025-09-15 10:44:54,Contraband discovered during cell search.,2025-04-30 02:52:47,JINC-72bf2062-77e8-4b45-83fe-82ed3fecc5d4,SELF_HARM,"[""855384e2-82bf-4f54-be51-bfaf58e68d25"", ""313c76db-c57c-429a-9661-0bf84a445f82"", ""62975fbf-8e27-4960-a6eb-aa844965e7e7""]","[""Mary Goodman"", ""Diane Ramos"", ""Martin Downs""]",MEDICAL,P-531E3B35AE,PROSECUTOR
"[""EVIDENCE_SEIZED"", ""REPORT_FILED""]",85828d54-734f-4e2a-8d92-c7dd133da9e3,2025-09-15 10:44:54,Altercation between inmates; separated by staff.,2025-08-23 11:56:25,JINC-6e1e6636-84d0-4b54-8407-d98f94114dde,SELF_HARM,"[""04ed8edc-4212-4475-a7b4-1de5bbb208f0""]","[""Nicole Vargas""]",POD A,P-9EA4EA0723,PROSECUTOR
"[""ISOLATION""]",ba8977d6-6e26-4956-8941-cc8e09c8ad82,2025-09-15 10:44:54,Altercation between inmates; separated by staff.,2025-08-26 04:34:29,JINC-8a95d70c-1aab-46eb-bf80-a2e0331cb0a9,MEDICAL,"[""be4dba03-86e8-48c8-89fa-a2f70af354de"", ""ba39bd29-bf13-476f-9832-4f973543291d"", ""e9dce006-6027-4034-8a1d-5b4708131aa5""]","[""Sheila Ross"", ""Tammy Carr""]",POD A,P-E8084EEB20,PROSECUTOR
"[""REPORT_FILED""]",61fbdb4e-5594-4837-86fc-2bdc59a77850,2025-09-15 10:44:54,Inmate referred for medical evaluation.,2025-03-23 13:20:12,JINC-1cfba65d-ce1a-4bd2-a43a-d78454ebacfe,MEDICAL,"[""d15cc086-e80b-4cf9-a22a-2d89e7715843"", ""9f3f2058-dab7-4495-9cf0-7c4b5be86541""]","[""Tyler Jones"", ""Lance Wade"", ""Samantha Dalton""]",MEDICAL,P-CAEF329BD7,KCSO
"[""MEDICAL_EVAL"", ""ISOLATION""]",50b250c0-0f84-426e-9b5f-eb8b7aa7c56b,2025-09-15 10:44:54,Inmate referred for medical evaluation.,2025-03-23 00:35:58,JINC-42ae3920-780c-46bc-9863-28429b105249,PROPERTY_DAMAGE,"[""0d05febe-969a-4986-b3aa-6accbceffeb9"", ""8783de7a-3c66-4f05-bfb2-0bdb88bac92c""]","[""Holly Carrillo"", ""Anna Ramirez"", ""Brandy Nichols""]",DAYROOM,P-604E8886DB,
"[""ISOLATION""]",dccd4460-a7c2-4c70-8578-a77ec2647547,2025-09-15 10:44:54,Contraband discovered during cell search.,2025-08-02 00:49:35,JINC-d729f2ce-0185-4591-917b-3893880b4e3a,MEDICAL,"[""5282539d-8c8d-4be6-923b-2c87bb53b3ec""]","[""Ariel Anderson"", ""Kirsten Garner""]",DAYROOM,P-E3583AC6C7,
"[""DISCIPLINARY""]",0e5063ab-727c-42f8-a4fa-8f79b1363e50,2025-09-15 10:44:54,Inmate referred for medical evaluation.,2025-07-16 04:42:00,JINC-10764998-e180-48ad-8823-fe98098df73c,ASSAULT,"[""725b8013-89f7-4704-a1e8-8d4e7163a249""]","[""Diamond Rodriguez""]",YARD,P-D063D9DEDE,
"[""DISCIPLINARY"", ""EVIDENCE_SEIZED""]",83b4cad6-c8d7-4bfa-8992-ede252a62764,2025-09-15 10:44:54,Inmate referred for medical evaluation.,2025-07-31 15:00:28,JINC-dada750e-1b34-41e6-a812-d256ae7af8b8,CONTRABAND,"[""fdd441e1-7be9-4431-bfa7-12a69e6ff7ef"", ""a4b19202-6918-4985-a7ea-9b6cc0af3024"", ""9ed40e65-ae1c-494d-a983-88ef5cfc0c0f""]","[""Noah Vaughn"", ""David Bailey""]",MEDICAL,P-E7E0A2271A,
"[""REPORT_FILED""]",5391a510-2de9-486b-8963-549643c1772d,2025-09-15 10:44:54,Altercation between inmates; separated by staff.,2025-05-05 08:57:07,JINC-c143c0e8-96f5-4365-b370-aa2fd8f10664,CONTRABAND,"[""bec5f168-9ae2-4692-8f88-9355125ffac5"", ""1901781d-db07-44fb-8459-2b0e03314893"", ""7cb6ac9a-0c0d-48ce-be41-96fa7675efa7""]","[""Tracy Dalton""]",POD A,P-72C44DFC9D,
"[""MEDICAL_EVAL"", ""REPORT_FILED"", ""ISOLATION""]",ca4d783c-f88a-41ae-9efe-23313248cc34,2025-09-15 10:44:54,Property damage to dayroom table recorded.,2025-04-04 12:36:58,JINC-bc1b84b3-c765-416b-9757-1d932e36fdfd,CONTRABAND,"[""35df90cf-774e-488e-89cd-880ae492d9ab"", ""aa06b8ca-10b0-4409-8ef8-4db98b2b4205"", ""aa862f0c-9eb2-4714-9e3a-fd4c88bbb80a""]","[""Deborah Stewart"", ""Jamie Smith"", ""Andrew King""]",YARD,P-965E10A447,KCSO
"[""ISOLATION""]",c5dbc1e6-4277-49eb-bb82-8b871b00f6b3,2025-09-15 10:44:54,Contraband discovered during cell search.,2025-09-06 00:35:11,JINC-1e75d5ad-a044-4511-9362-b072d484e954,MEDICAL,[],"[""Erin Brooks""]",MEDICAL,P-043E5FC0D6,PROSECUTOR
"[""REPORT_FILED"", ""ISOLATION""]",cb54b0a4-dbd0-4194-9446-e9c623678b8d,2025-09-15 10:44:54,Contraband discovered during cell search.,2025-08-07 01:52:40,JINC-306e7bd2-421e-494f-9551-d9ce8c666eef,CONTRABAND,[],"[""Brittany Frye""]",CELL 2,P-C4AE50AE84,PROSECUTOR
"[""REPORT_FILED"", ""ISOLATION""]",2ab7ced9-2606-49ec-9173-3e4ce9614382,2025-09-15 10:44:54,Altercation between inmates; separated by staff.,2025-04-11 17:19:03,JINC-60857766-f3e9-4847-a757-228355515443,ASSAULT,"[""f9c3ee9f-6e9d-4ba2-9ab5-0db64c8f5e71"", ""9f3ff7c8-5ad9-4796-9fe2-7fcd58bf31c8""]","[""Ruben Lewis"", ""Michael Arroyo"", ""Lisa Daniel""]",POD A,P-1EE8F92094,KCSO
"[""EVIDENCE_SEIZED""]",31d74844-2e98-47db-bd1d-8b8d2741001e,2025-09-15 10:44:54,Altercation between inmates; separated by staff.,2025-05-17 15:55:50,JINC-fdeedc51-6694-42c0-8ffb-309c5d05ef61,SELF_HARM,"[""a122baa6-f68d-4f87-a6db-b943a6ea8a8b""]","[""Terri Cruz"", ""James Frederick""]",POD B,P-326D15F082,KCSO
"[""ISOLATION"", ""DISCIPLINARY"", ""REPORT_FILED""]",3fc378e7-123b-4e13-ba07-fc8afd07afc7,2025-09-15 10:44:54,Property damage to dayroom table recorded.,2025-05-17 08:14:08,JINC-a1244cea-7e89-4476-bc8b-02cd1f375349,CONTRABAND,[],"[""Denise Johnson"", ""Jeffrey Mcguire""]",CELL 2,P-E5580AE9C4,PROSECUTOR
"[""MEDICAL_EVAL"", ""ISOLATION"", ""EVIDENCE_SEIZED""]",e7c7baea-cd1f-4cc0-af65-689286caa33e,2025-09-15 10:44:54,Inmate referred for medical evaluation.,2025-07-17 23:54:42,JINC-f3ea4de0-7867-4d2b-9c8e-bdb25eecabb1,PROPERTY_DAMAGE,"[""6a460592-0fa7-4b75-b068-3aceb0361264""]","[""Veronica Melendez"", ""Alexandra Mejia""]",POD A,P-2E16246951,
"[""DISCIPLINARY"", ""REPORT_FILED""]",a17b224c-3452-4936-9b03-1d8337e63347,2025-09-15 10:44:54,Inmate referred for medical evaluation.,2025-04-24 18:19:01,JINC-5d6de2f1-b9d9-4c2f-a609-a76cac55df8e,MEDICAL,"[""14f889b6-711f-4848-a5ba-294ae179a1ca"", ""e3e339ec-a59a-4add-93f5-567983ddee3a""]","[""Victoria Adams"", ""Amy Ross"", ""James Mitchell""]",DAYROOM,P-960D0F2B3B,PROSECUTOR
"[""REPORT_FILED""]",c2e79f37-f283-4040-b801-9fdad0669acb,2025-09-15 10:44:54,Inmate referred for medical evaluation.,2025-07-06 13:03:17,JINC-c09def24-1a7e-4709-a062-e52a0c3bdf9b,CONTRABAND,"[""010cd80d-19dd-43f1-8d2f-b27d6a5e5478""]","[""Linda Barr""]",POD B,P-77C8DFDC23,
"[""REPORT_FILED""]",c6ebcba1-d35b-4d92-98ce-e6147915b0dc,2025-09-15 10:44:54,Contraband discovered during cell search.,2025-07-23 12:08:01,JINC-57aaef4b-9ab2-41a4-aa43-5db08376d823,ASSAULT,[],"[""Tom Patterson"", ""Cheryl Gomez""]",DAYROOM,P-9E508B063C,PROSECUTOR
"[""DISCIPLINARY""]",20496935-6fe6-4a4f-98af-925a5adc443b,2025-09-15 10:44:54,Contraband discovered during cell search.,2025-05-01 17:51:47,JINC-a3418912-80f9-462a-a023-39a21d483e3e,PROPERTY_DAMAGE,"[""2ca7d7a7-608b-4f5c-9fe5-04116f27cbaf"", ""b47db44b-0be4-476f-893c-4f5e5e211285""]","[""Kristin Sanders""]",MEDICAL,P-1D5E148BEE,KCSO
"[""EVIDENCE_SEIZED"", ""MEDICAL_EVAL"", ""REPORT_FILED""]",daf097a8-6211-4c23-a12d-6eebb90a913c,2025-09-15 10:44:54,Altercation between inmates; separated by staff.,2025-09-06 05:25:26,JINC-f8bc39c4-2eee-449d-b0e4-ba59081af739,ASSAULT,[],"[""Richard Russell"", ""Johnathan Garrison"", ""Brenda Boone""]",YARD,P-BE9A651D86,PROSECUTOR
"[""MEDICAL_EVAL"", ""DISCIPLINARY"", ""EVIDENCE_SEIZED""]",ebef39e6-acfd-4c7e-9f30-467f6a59b958,2025-09-15 10:44:54,Property damage to dayroom table recorded.,2025-05-19 22:58:08,JINC-9df7d638-ab3f-499e-9473-4ea2234d6578,SELF_HARM,[],"[""Alexis Spence""]",POD B,P-55F5896047,PROSECUTOR
"[""MEDICAL_EVAL"", ""EVIDENCE_SEIZED""]",eef2c95f-fae1-494b-b5e1-2fa4f735c79c,2025-09-15 10:44:55,Contraband discovered during cell search.,2025-08-01 13:32:09,JINC-05268136-c17e-4f18-b016-049f8d6d1035,ASSAULT,"[""6edc3d16-6b30-402b-a7e6-c061e5cd66a8"", ""35247ab6-461d-4dfb-8a07-f1241b4f576f""]","[""Timothy Phillips"", ""Robert Sanders"", ""Michael Oconnell""]",POD A,P-7F84237F51,
"[""ISOLATION""]",c9b871e0-447d-44b5-9040-e5ef6b519cbd,2025-09-15 10:44:55,Altercation between inmates; separated by staff.,2025-08-04 21:12:21,JINC-f9dc1244-5ed5-44ea-8cfe-6d268f7c9762,SELF_HARM,[],"[""Sharon Hernandez"", ""Gabriela Phillips"", ""Desiree Duncan""]",POD B,P-7CB045DF63,PROSECUTOR
"[""DISCIPLINARY"", ""EVIDENCE_SEIZED""]",1fb028cb-9fc0-4c1c-96d3-059d18907b32,2025-09-15 10:44:55,Contraband discovered during cell search.,2025-03-30 01:46:43,JINC-7c4ef9eb-6b04-45b5-ac48-018b2b3ba59f,PROPERTY_DAMAGE,"[""d6f82350-ac38-4ab7-8561-0c6db2aba0d1""]","[""Michael Mcdonald"", ""Victoria Clark""]",POD A,P-A62754D8F1,
"[""REPORT_FILED"", ""ISOLATION""]",49509c65-5e43-46c9-91f6-b91b4defdefd,2025-09-15 10:44:55,Contraband discovered during cell search.,2025-09-14 07:34:49,JINC-4d1e2d53-93b8-4234-a081-2cbad48863a7,MEDICAL,[],"[""Brandi Terry""]",POD B,P-B3178C0D8C,
"[""REPORT_FILED"", ""EVIDENCE_SEIZED""]",392be73a-0cc0-4b3f-951d-43c6d4160a43,2025-09-15 10:44:55,Inmate referred for medical evaluation.,2025-06-20 16:54:26,JINC-ab919df1-44e1-4ff7-a595-8b4069a4ba28,SELF_HARM,"[""c68af49e-e62b-4c02-84aa-1e05cf69f67f"", ""b5dc0e02-50c8-4e75-85a0-98f184483bb6"", ""5f4ba6d0-95d3-4328-8c5c-e4f9df502462""]","[""Stephanie Nixon""]",MEDICAL,P-34613F9422,
"[""EVIDENCE_SEIZED""]",78264d73-130c-424f-a944-83d65b26c433,2025-09-15 10:44:55,Inmate referred for medical evaluation.,2025-07-10 19:21:22,JINC-2daceadf-fc1b-4549-9844-d5a5913bb517,ASSAULT,"[""e0a6d3e5-575a-41a1-bed1-970326a228bf""]","[""Andrea Williams"", ""Nicholas Lawson"", ""Jay Palmer""]",DAYROOM,P-34419DA664,
"[""DISCIPLINARY"", ""MEDICAL_EVAL""]",72f6909a-a796-48eb-9731-2c81804ad63a,2025-09-15 10:44:55,Altercation between inmates; separated by staff.,2025-05-06 22:43:04,JINC-e4fc186d-74d5-4fce-8493-0d23e21a55fd,CONTRABAND,[],"[""Vicki Sampson"", ""Matthew Strickland"", ""Karen Hill""]",YARD,P-B3546F5D88,
